,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,0.988125,,0.988125
WC2,1.0,0.9975,,0.9975
WC3,2.0,0.9875,,0.9875
WC4,3.0,,0.5340625,0.5340625
WC5,4.0,,0.7053125,0.7053125
WC6,5.0,,0.9721875,0.9721875
WC7,6.0,,0.811875,0.811875
WC8,7.0,,0.94625,0.94625
WC9,8.0,,0.9690625,0.9690625
