,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,0.9934375,,0.9934375
WC2,1.0,0.9925,,0.9925
WC3,2.0,,0.6953125,0.6953125
WC4,3.0,,0.6490625,0.6490625
WC5,4.0,,0.7240625,0.7240625
WC6,5.0,,0.5746875,0.5746875
WC7,6.0,,0.8046875,0.8046875
WC8,7.0,,0.77875,0.77875
WC9,8.0,,0.2677272727272727,0.2677272727272727
