,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,0.9809375,,0.9809375
WC2,1.0,0.996875,,0.996875
WC3,2.0,0.9746875,,0.9746875
WC4,3.0,0.94625,,0.94625
WC5,4.0,0.8996875,,0.8996875
WC6,5.0,,0.9475,0.9475
WC7,6.0,,0.8334375,0.8334375
WC8,7.0,,0.9165625,0.9165625
WC9,8.0,,0.8575,0.8575
