,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,0.9775,,0.9775
WC2,1.0,0.996875,,0.996875
WC3,2.0,0.98,,0.98
WC4,3.0,0.91625,,0.91625
WC5,4.0,0.9128125,,0.9128125
WC6,5.0,0.978125,,0.978125
WC7,6.0,0.996875,,0.996875
WC8,7.0,,0.990625,0.990625
WC9,8.0,,0.8778125,0.8778125
