label,dim1,dim2
wc0,-21.599245,30.464428
wc0,-29.619549,29.709103
wc0,-24.83579,33.977356
wc0,-23.37007,34.633583
wc0,-11.632543,29.867737
wc0,-13.974618,29.094908
wc0,-22.566288,21.30535
wc0,-18.122105,34.948757
wc0,-32.121346,20.649519
wc0,-25.775316,19.524542
wc0,-31.989477,17.288477
wc0,-18.853802,29.36283
wc0,-30.47307,21.454363
wc0,-28.226078,10.071313
wc0,-30.252396,21.67399
wc0,-33.685482,27.522171
wc0,-35.58891,24.802479
wc0,-23.299067,22.785301
wc0,-39.148415,24.01511
wc0,-23.033012,20.406986
wc0,-23.329988,28.230488
wc0,-20.769773,33.638638
wc0,-19.898556,25.09872
wc0,-22.909483,32.03531
wc0,-24.788576,14.925406
wc0,-23.696577,22.724535
wc0,-20.361313,21.50845
wc0,-25.34581,20.917437
wc0,-20.063423,29.437048
wc0,-27.024714,30.959015
wc0,-25.963425,26.086964
wc0,-27.33925,27.842176
wc0,-29.627808,31.881475
wc0,-11.763651,30.065487
wc0,-27.785164,29.34769
wc0,-11.556775,20.787563
wc0,-26.852879,33.00097
wc0,-30.400673,15.829911
wc0,-25.21606,22.768887
wc0,-23.361982,21.109045
wc0,-36.367393,16.035606
wc0,-33.02651,31.03704
wc0,-32.27653,19.622826
wc0,-18.828047,15.891051
wc0,-17.75223,32.55171
wc0,-29.077484,24.218197
wc0,-18.0321,16.932468
wc0,-26.731625,18.296179
wc0,-25.623247,15.148888
wc0,-28.412342,16.870861
wc0,-19.131908,29.834042
wc0,-15.115034,18.079979
wc0,-19.375921,27.3802
wc0,-19.486628,35.29393
wc0,-23.114107,36.23024
wc0,-16.407114,23.185646
wc0,-32.80141,26.0621
wc0,-30.627325,27.937286
wc0,-19.830004,35.312103
wc0,-24.338055,15.866606
wc0,-37.582592,23.065939
wc0,-29.854235,29.809269
wc0,-17.62588,16.483027
wc0,-16.536415,34.383106
wc0,-15.867943,34.41005
wc0,-24.462156,19.860949
wc0,-25.648657,19.47127
wc0,-30.461727,31.860281
wc0,-19.487053,23.69467
wc0,-15.6606865,32.858723
wc0,-17.614815,32.606503
wc0,-24.606539,32.896095
wc0,-24.628332,35.941822
wc0,-28.038342,29.175434
wc0,-26.072296,17.031551
wc0,-32.390076,33.871464
wc0,-8.369421,24.327873
wc0,-27.15021,25.484276
wc0,-33.83343,15.471773
wc0,-28.820038,14.130891
wc0,-29.319086,16.776464
wc0,-29.660975,13.453786
wc0,-37.37398,16.941631
wc0,-32.012947,10.943218
wc0,-21.853455,31.279486
wc0,-37.02087,25.374142
wc0,-29.038038,16.622318
wc0,-15.463381,24.41891
wc0,-19.05413,31.770725
wc0,-18.598198,28.70773
wc0,-30.41275,12.248632
wc0,-25.500973,30.970762
wc0,-28.824223,8.234544
wc0,-16.555353,13.81951
wc0,-25.234201,26.682957
wc0,-26.946466,29.79032
wc0,-18.371918,22.082869
wc0,-25.722246,35.508553
wc0,-26.939987,30.870708
wc0,-17.980083,33.528896
wc0,-32.348557,30.92312
wc0,-26.354578,24.82945
wc0,-21.821146,27.736645
wc0,-29.602617,20.417217
wc0,-29.32261,27.997946
wc0,-15.506921,17.879997
wc0,-30.323841,14.808085
wc0,-28.709929,30.934584
wc0,-23.273935,21.485872
wc0,-25.271116,20.094547
wc0,-26.81596,20.38528
wc0,-19.425827,15.887925
wc0,-20.783615,28.772276
wc0,-23.97837,31.206198
wc0,-19.75759,32.06085
wc0,-19.051306,32.180897
wc0,-32.31463,18.222124
wc0,-36.331364,20.106155
wc0,-35.190903,20.741629
wc0,-24.589832,21.59601
wc0,-29.4568,17.733953
wc0,-24.633753,17.247572
wc0,-31.865236,18.818657
wc0,-27.805983,19.592745
wc0,-28.403929,15.947361
wc0,-21.744404,23.290981
wc0,-31.976324,22.896975
wc0,-27.259258,18.91679
wc0,-32.045887,10.802533
wc0,-35.30277,20.708225
wc0,-14.147321,20.338242
wc0,-25.57488,21.422169
wc0,-32.60798,20.213139
wc0,-35.588085,18.320934
wc0,-26.531338,30.98644
wc0,-24.352482,22.555605
wc0,-25.358166,30.59702
wc0,-17.41411,26.415117
wc0,-16.320932,25.909672
wc0,-21.764254,27.50011
wc0,-30.32595,14.668397
wc0,-27.233751,32.60591
wc0,-29.630095,16.913822
wc0,-10.132602,24.782207
wc0,-14.632986,13.140318
wc0,-26.79894,19.030989
wc0,-28.381332,19.370705
wc0,-31.063639,29.542389
wc0,-21.70307,23.217842
wc0,-27.790236,22.650637
wc0,-31.39076,23.040216
wc0,-27.547857,15.167608
wc0,-25.989985,26.454899
wc0,-17.431932,21.237822
wc0,-23.281746,25.080748
wc0,-26.075205,29.862362
wc0,-31.591515,33.127747
wc0,-23.258104,16.884212
wc0,-13.773445,26.030931
wc0,-25.341805,24.26616
wc0,-26.806004,11.026029
wc0,-30.30936,18.11559
wc0,-19.628572,15.871347
wc0,-19.290398,20.800512
wc0,-31.965982,17.9022
wc0,-31.70109,18.115173
wc0,-26.269855,8.090841
