,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,1.0,,1.0
WC2,1.0,1.0,,1.0
WC3,2.0,,0.7921875,0.7921875
WC4,3.0,,0.9990625,0.9990625
WC5,4.0,,1.0,1.0
WC6,5.0,,0.6746875,0.6746875
WC7,6.0,,0.93125,0.93125
WC8,7.0,,1.0,1.0
WC9,8.0,,0.725625,0.725625
