,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,1.0,,1.0
WC2,1.0,1.0,,1.0
WC3,2.0,0.9996875,,0.9996875
WC4,3.0,,0.999375,0.999375
WC5,4.0,,0.9971875,0.9971875
WC6,5.0,,0.9890625,0.9890625
WC7,6.0,,0.8825,0.8825
WC8,7.0,,0.9984375,0.9984375
WC9,8.0,,0.9996875,0.9996875
