,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,1.0,,1.0
WC2,1.0,1.0,,1.0
WC3,2.0,1.0,,1.0
WC4,3.0,1.0,,1.0
WC5,4.0,1.0,,1.0
WC6,5.0,,0.99625,0.99625
WC7,6.0,,0.9575,0.9575
WC8,7.0,,1.0,1.0
WC9,8.0,,0.999375,0.999375
