label,dim1,dim2
wc0,-13.49531,-6.4224586
wc0,-11.26855,-0.6778869
wc0,-8.289884,1.0308836
wc0,-12.797424,-6.080133
wc0,-25.770412,9.704259
wc0,-16.78917,-0.1803669
wc0,-17.977951,5.973018
wc0,-17.98441,-10.068192
wc0,-13.439357,-7.1785107
wc0,-19.528238,-10.7818985
wc0,-23.145115,2.1966016
wc0,-26.381697,5.793133
wc0,-17.320301,-9.185413
wc0,-12.748569,-0.09472269
wc0,-15.826888,4.8596163
wc0,-6.5018673,0.582652
wc0,-9.295713,-4.8087773
wc0,-9.035096,-10.986928
wc0,-18.758177,-9.434685
wc0,-10.18453,-10.657966
wc0,-18.664452,-4.0670633
wc0,-21.218328,-0.10217373
wc0,-15.47947,-4.6040363
wc0,-11.696749,-7.979183
wc0,-8.5766535,-0.5006582
wc0,-10.186062,0.9240653
wc0,-0.19304694,0.09816091
wc0,-12.093244,-5.1993737
wc0,-25.954105,-0.3551839
wc0,-20.612244,-8.002478
wc0,-12.878302,-2.9005218
wc0,-27.2039,-8.0953665
wc0,-16.20154,-9.298485
wc0,-15.167486,1.2836586
wc0,-9.042179,-9.516521
wc0,10.401927,-6.3249497
wc0,-12.000515,-5.5095544
wc0,-11.137886,6.576438
wc0,-17.165798,2.041249
wc0,-18.905785,-1.3231298
wc0,-26.990448,-6.502222
wc0,-14.0516815,0.48246905
wc0,-7.976034,-10.8188095
wc0,-8.589015,-8.984576
wc0,-12.398379,-10.865138
wc0,-10.068616,-16.459854
wc0,-10.963306,-4.4787107
wc0,-19.009647,-8.056643
wc0,-16.341928,-8.957541
wc0,-14.495702,-10.333542
wc0,-23.182045,-11.421715
wc0,-21.017231,2.8656728
wc0,-14.718894,-10.014832
wc0,-13.767794,9.927337
wc0,-14.939084,-6.9720917
wc0,-13.316598,0.8352247
wc0,-23.767323,-3.0040944
wc0,-26.707964,-6.245372
wc0,-15.803178,-7.196055
wc0,-11.181572,2.3424664
wc0,-11.796386,-7.122611
wc0,-7.508709,-8.576601
wc0,-16.97157,-7.8727355
wc0,-1.0370135,-5.1949177
wc0,-14.612661,-7.158397
wc0,-22.48246,-5.109841
wc0,-16.163033,-9.053549
wc0,-4.19752,-14.104022
wc0,-20.089031,-4.245209
wc0,-7.8418565,-11.605162
wc0,-10.285418,-5.458737
wc0,-12.396828,1.1924442
wc0,-14.057867,9.874012
wc0,-21.504663,3.4888785
wc0,-13.1217985,-2.6849897
wc0,-18.823555,-16.783531
wc0,-18.815523,-5.997267
wc0,-23.436464,-7.8859596
wc0,-12.360944,-4.464669
wc0,-11.2775955,-6.290352
wc0,-14.833676,-7.5390525
wc0,-19.36705,3.419459
wc0,-13.117923,-8.340281
wc0,-9.7687435,-4.385521
wc0,-19.23301,-0.68629247
wc0,-18.246979,-6.6539717
wc0,-7.173025,-4.8885994
wc0,-13.537786,-11.260943
wc0,-11.987292,-5.369056
wc0,-16.018574,-9.329387
wc0,-11.331791,-4.536339
wc0,-15.33641,-5.1423464
wc0,-13.99044,-11.062659
wc0,-11.710898,-2.5279617
wc0,-8.571578,-4.239188
wc0,-13.86001,-0.42166218
wc0,-18.512695,4.337263
wc0,-8.150349,0.96236265
wc0,-16.88517,0.52790034
wc0,-20.700727,-11.694911
wc0,-20.408024,1.391157
wc0,-19.76089,-3.3157938
wc0,-18.460924,1.9881786
wc0,-18.049265,-7.0816584
wc0,-9.257449,-6.8386087
wc0,-10.818324,-8.669932
wc0,-6.4431524,-11.599174
wc0,-9.616833,-5.908027
wc0,-19.419064,2.6513734
wc0,-22.523714,-1.832017
wc0,-26.184477,-1.9719534
wc0,-16.19438,1.2008811
wc0,-16.594133,4.994857
wc0,-15.993918,-13.690928
wc0,-20.351608,-6.529645
wc0,-18.681114,-4.0348296
wc0,-15.808494,0.44389528
wc0,-19.56598,-1.4099933
wc0,-27.358562,-0.9908165
wc0,-21.43098,1.3402895
wc0,-14.34966,3.5717993
wc0,-2.4219587,-1.8436618
wc0,-17.202438,-4.2146506
wc0,-25.736807,-1.6132098
wc0,-20.567883,-6.360238
wc0,-15.380916,-0.16776504
wc0,-16.209572,-3.855069
wc0,-11.16356,-6.060104
wc0,-3.5017834,-8.526274
wc0,-16.64931,-1.9586955
wc0,-4.9433737,-5.439182
wc0,-20.51722,-9.834937
wc0,-24.083727,-9.139652
wc0,-24.956533,-9.212647
wc0,-16.462763,-3.1992955
wc0,-4.98712,-6.1960998
wc0,-18.056746,-5.883159
wc0,-18.44404,-3.4683774
wc0,-12.324378,-7.4650226
wc0,-18.531464,-4.487936
wc0,-11.910513,3.3447156
wc0,-19.133446,-6.117214
wc0,-26.30175,-4.7228117
wc0,-21.889341,-6.5678377
wc0,-8.031248,-4.1684546
wc0,-14.176004,-5.36019
wc0,-18.259161,5.9611044
wc0,-17.114717,-4.522928
wc0,-25.379429,-4.47971
wc0,-14.2060375,-6.413282
wc0,-9.400709,0.6075055
wc0,-15.463144,10.259445
wc0,-16.856937,-7.243398
wc0,-18.798677,-0.7302737
wc0,-12.028517,7.005357
wc0,-20.703238,-15.504302
wc0,-25.960602,-0.02746889
wc0,-30.07762,3.8208394
wc0,-15.742275,-5.2613587
wc0,-16.880373,0.69545275
wc0,-20.105469,-8.327848
wc0,-20.188332,3.1805155
wc0,-22.677248,-7.7948084
wc0,-6.424411,-4.167198
wc0,-3.2784066,-4.996243
wc0,-15.400907,-2.6083903
wc0,-13.541772,-8.577778
wc0,-12.122449,-2.2651286
wc0,-8.67664,-10.81383
wc0,-5.6945086,-3.282459
wc0,-11.147449,-9.92066
wc0,-14.126851,-7.7311993
wc0,-17.842598,-7.675658
wc0,-13.355926,-1.8409848
wc0,-16.2413,-0.98581886
wc0,-5.7892723,-1.4393171
wc0,-26.473759,1.3844547
wc0,-25.447437,1.3589647
wc0,-21.802551,4.720802
wc0,-18.228888,-12.18528
wc0,-3.6804001,22.39586
wc0,-13.028091,2.1176739
wc0,-19.248732,3.4953368
wc0,-21.020151,-0.182275
wc0,-21.283365,-3.0917592
wc0,-21.949244,-6.5785866
wc0,-9.241969,3.6183052
wc0,-14.279792,2.8735836
wc0,-3.5378785,-9.029785
wc0,-7.993583,-4.923029
wc0,-20.536465,-9.586204
wc0,-15.33048,-6.4213915
wc0,-14.384568,-5.2698135
wc0,-10.882289,-7.599285
wc0,-1.1709566,-14.905196
wc0,7.7063117,7.960269
wc0,-20.470037,7.9560266
wc0,-16.828115,-1.7802869
wc0,-22.510664,-4.352951
wc0,-12.465099,-12.22793
wc0,-5.5491605,-0.037959997
wc0,-11.822041,-0.52594364
wc0,-14.02306,-2.8105958
wc0,-11.991579,-5.95906
wc0,-18.794096,-7.3801565
wc0,-21.901728,-10.718953
wc0,-12.109586,-8.681698
wc0,-10.243304,4.988453
wc0,-24.702557,-2.927165
wc0,-17.613039,-1.7629447
wc0,-20.704573,-11.675048
wc0,-12.127866,-6.1085086
wc0,-21.38163,-4.6405854
wc0,-10.425293,-13.221792
wc0,-17.005125,7.0072317
wc0,-0.25977027,8.318873
wc0,-21.100037,-3.0830202
wc0,-11.936265,-5.6177607
wc0,-13.192717,0.8625238
wc0,-12.424371,-7.5632334
wc0,-11.552942,-3.121945
wc0,-12.452563,-4.3236127
wc0,-12.457076,-7.775118
wc0,-9.906008,-6.3891172
wc0,-9.398282,-3.306423
wc0,-7.140275,-3.9915721
wc0,-11.865558,-15.8935375
wc0,-17.55273,-0.6464771
