label,x,y
wc0,-21.67866,-1.2235632
wc0,-16.665522,2.6001196
wc0,-22.17792,-3.1183991
wc0,-11.667533,1.5893829
wc0,-11.778489,1.7084689
wc0,-9.447974,-7.7491994
wc0,-8.871599,-6.678213
wc0,-15.322962,-10.852835
wc0,-11.857183,1.8275702
wc0,-21.218328,-0.10217373
wc0,-18.334436,2.2583776
wc0,-13.566538,-10.713467
wc0,-21.889341,-6.5678377
wc0,-21.510324,-7.4218473
wc0,-18.940014,-10.005241
wc0,-21.949244,-6.5785866
wc0,-14.279792,2.8735836
wc0,-21.977364,-6.5840273
wc0,-18.75097,-10.173066
wc0,-8.872138,-1.1902223
wc0,-8.8483715,-7.2260046
wc0,-22.48246,-5.109841
wc0,-8.220255,-3.0213404
wc0,-10.500372,1.1408659
wc0,-22.604519,-4.4194665
wc0,-21.997746,-0.84538686
wc0,-10.186062,0.9240653
wc0,-22.38666,-1.7870976
wc0,-16.970549,-10.996582
wc0,-20.574768,1.2676637
wc0,-8.857801,-7.612982
wc0,-7.993583,-4.923029
wc0,-22.482794,-5.92397
wc0,-7.93299,-4.1833463
wc0,-22.523714,-1.832017
wc0,-10.133896,-9.315643
wc0,-9.111444,-8.1903305
wc0,-10.384679,1.3731936
wc0,-17.137934,3.198335
wc0,-14.764029,-11.387992
wc0,-8.108452,-6.279571
wc0,-19.15259,-10.38568
wc0,-21.344109,-8.487228
wc0,-13.537786,-11.260943
wc0,-16.757845,3.3365364
wc0,-11.70901,-10.599122
wc0,-12.85191,-11.13425
wc0,-8.631286,-7.7735705
wc0,-7.9206214,-2.3639183
wc0,-8.0648985,-1.6581917
wc0,-21.542616,-8.534383
wc0,-11.181572,2.3424664
wc0,-20.473291,-9.809383
wc0,-8.615375,-8.104534
wc0,-11.001275,-10.518109
wc0,-20.51722,-9.834937
wc0,-23.283026,-3.4296947
wc0,-9.003614,0.54136395
wc0,-21.298557,1.4136703
wc0,-18.259653,-11.311147
wc0,-9.279746,-9.231952
wc0,-21.43098,1.3402895
wc0,-7.400757,-5.24464
wc0,-14.431188,-11.885965
wc0,-14.43786,-11.889953
wc0,-22.187199,-8.168802
wc0,-19.528238,-10.7818985
wc0,-8.822938,0.5098136
wc0,-7.760349,-1.4637022
wc0,-9.631713,-9.760771
wc0,-7.8315735,-7.199609
wc0,-21.054462,1.9053762
wc0,-7.140275,-3.9915721
wc0,-23.449831,-2.2672749
wc0,-13.7908535,3.9027085
wc0,-20.736666,-10.121446
wc0,-7.9552064,-7.762983
wc0,-22.694942,0.05170913
wc0,-15.740664,-12.195567
wc0,-21.18001,2.1083548
wc0,-23.517622,-5.906469
wc0,-8.589015,-8.984576
wc0,-16.685738,-12.167059
wc0,-7.045525,-5.633892
wc0,-19.36705,3.419459
wc1,-0.06581677,-0.010676937
wc1,-0.47995707,0.57496524
wc1,-0.7990489,0.064418115
wc1,1.1688005,-0.27633932
wc1,-1.1234703,-0.7176475
wc1,-1.3988538,0.62018055
wc1,1.31609,1.1661998
wc1,1.941953,-0.5254244
wc1,1.3465736,1.2017877
wc1,-1.0737854,-1.6667519
wc1,-1.8182539,1.4297276
wc1,-1.7183391,1.6025237
wc1,0.35124597,-2.6609867
wc1,2.790605,-0.6377615
wc1,2.6997304,0.819057
wc1,-1.6773615,2.2254906
wc1,-0.45470062,2.8349447
wc1,2.7842422,-1.7164237
wc1,2.7019947,1.4713258
wc1,-1.7389241,-2.8184822
wc1,3.216865,1.0622102
wc1,1.5268403,-3.264809
wc1,0.4391772,-4.072814
wc1,3.9953074,-0.72697073
wc1,-3.6777098,-1.054898
wc1,-3.1890192,-2.2538328
wc1,-1.2971735,-4.0673633
wc1,-4.0442677,-0.23801093
wc1,-3.639916,2.1413722
wc1,-2.1672316,3.6694298
wc1,-3.5584755,2.3218167
wc1,-2.5471296,-3.6108644
wc1,3.4988263,2.5926988
wc1,2.385831,3.7531903
wc1,0.27353233,-4.8506494
wc1,4.8190165,-0.9759123
wc1,-2.0479677,4.208238
wc1,-4.4359775,1.9651843
wc1,2.9199107,-4.4766855
wc1,2.2151203,-4.948685
wc1,-4.6237783,-2.0964708
wc1,-4.989825,-0.902189
wc1,0.42595753,5.234411
wc1,5.070474,-2.3975337
wc1,5.21988,1.5054797
wc1,5.612742,-0.47304347
wc1,-0.70935035,-5.6618133
wc1,-5.411815,-1.1784097
wc1,-5.366648,1.7177266
wc1,-4.0004125,4.1852217
wc1,2.532041,-5.572622
wc1,-1.9673085,-5.739429
wc1,-2.9028392,-5.2766004
wc1,-4.009641,-4.4417133
wc1,-1.2844462,5.905938
wc1,-5.3739595,-2.2698872
wc1,-2.5581908,5.6148515
wc1,-4.923978,3.7953234
wc1,5.1819787,-4.032114
wc1,-2.3312542,-6.042254
wc1,3.868818,-5.415752
wc1,1.0188731,-6.539491
wc1,-4.9740644,-3.819896
wc1,6.6092215,-1.2235092
wc1,-6.227715,-0.5001924
