,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,0.9821875,,0.9821875
WC2,1.0,0.9834375,,0.9834375
WC3,2.0,0.995625,,0.995625
WC4,3.0,,0.791875,0.791875
WC5,4.0,,0.681875,0.681875
WC6,5.0,,0.95625,0.95625
WC7,6.0,,0.6009375,0.6009375
WC8,7.0,,0.7978125,0.7978125
WC9,8.0,,0.865625,0.865625
