,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,0.979375,,0.979375
WC2,1.0,0.9796875,,0.9796875
WC3,2.0,0.9940625,,0.9940625
WC4,3.0,0.97125,,0.97125
WC5,4.0,0.9965625,,0.9965625
WC6,5.0,,0.94625,0.94625
WC7,6.0,,0.6690625,0.6690625
WC8,7.0,,0.8834375,0.8834375
WC9,8.0,,0.90375,0.90375
