,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC1,0.0,0.97625,,0.97625
WC2,1.0,0.9840625,,0.9840625
WC3,2.0,,0.978125,0.978125
WC4,3.0,,0.7796875,0.7796875
WC5,4.0,,0.6771875,0.6771875
WC6,5.0,,0.923125,0.923125
WC7,6.0,,0.63625,0.63625
WC8,7.0,,0.8690625,0.8690625
WC9,8.0,,0.868125,0.868125
