,M0,M1,M2,M3,M4,M6,,,,
M0,100,0,0,0,0,0,,,,
M1,0,100,0,0,0,0,,,,
M2,0,0,100,0,0,0,,,,
M3,0,0,0,100,0,0,,,,
M4,0,0,0,0,100,0,,,,
M6,0,0,0,0,0,100,,,,
,,,,,,,,,,100
