,BF,CF,H,IF,OF
BF,0.913,0.012,0.03,0.022,0.023
CF,0.004,0.957,0.0,0.022,0.017
H,0.076,0.001,0.868,0.001,0.054
IF,0.023,0.042,0.011,0.904,0.02
OF,0.013,0.091,0.194,0.011,0.691
