,BF,CF,H,IF,OF
BF,0.958,0.008,0.01,0.01,0.014
CF,0.0,0.96,0.0,0.017,0.023
H,0.012,0.005,0.9,0.004,0.079
IF,0.007,0.055,0.003,0.93,0.005
OF,0.014,0.105,0.096,0.018,0.767
