,BF,CF,H,IF,OF
BF,0.958,0.004,0.004,0.025,0.009
CF,0.006,0.898,0.0,0.013,0.083
H,0.009,0.002,0.902,0.001,0.086
IF,0.02,0.009,0.0,0.971,0.0
OF,0.018,0.044,0.132,0.007,0.799
