,BF,CF,H,IF,OF
BF,0.964,0.002,0.004,0.008,0.022
CF,0.001,0.939,0.0,0.021,0.039
H,0.013,0.002,0.874,0.002,0.109
IF,0.012,0.032,0.002,0.938,0.016
OF,0.023,0.06,0.065,0.015,0.837
