,BF,CF,H,IF,OF
BF,0.643,0.047,0.038,0.154,0.118
CF,0.01,0.904,0.0,0.027,0.059
H,0.01,0.003,0.88,0.0,0.107
IF,0.017,0.003,0.0,0.98,0.0
OF,0.057,0.076,0.128,0.012,0.727
