,BF,CF,H,IF,OF
BF,0.929,0.008,0.018,0.014,0.031
CF,0.006,0.927,0.0,0.036,0.031
H,0.101,0.002,0.822,0.0,0.075
IF,0.026,0.028,0.004,0.901,0.041
OF,0.014,0.057,0.147,0.004,0.778
