,BF,CF,H,IF,OF
BF,0.677,0.046,0.071,0.142,0.064
CF,0.029,0.843,0.001,0.038,0.089
H,0.033,0.006,0.914,0.0,0.047
IF,0.062,0.018,0.0,0.92,0.0
OF,0.093,0.081,0.116,0.013,0.697
