,BF,CF,H,IF,OF
BF,0.937,0.005,0.033,0.008,0.017
CF,0.017,0.896,0.001,0.035,0.051
H,0.232,0.003,0.689,0.001,0.075
IF,0.073,0.052,0.013,0.831,0.031
OF,0.043,0.078,0.383,0.003,0.493
