,BF,CF,H,IF,OF
BF,0.978,0.001,0.005,0.007,0.009
CF,0.005,0.916,0.0,0.025,0.054
H,0.04,0.005,0.893,0.002,0.06
IF,0.03,0.066,0.004,0.887,0.013
OF,0.048,0.075,0.152,0.006,0.719
