,BF,CF,H,IF,OF
BF,0.962,0.002,0.005,0.022,0.009
CF,0.018,0.873,0.002,0.02,0.087
H,0.03,0.003,0.882,0.002,0.083
IF,0.042,0.02,0.0,0.938,0.0
OF,0.051,0.063,0.357,0.007,0.522
