,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
Load1,0.0,0.9903333333333333,,0.9903333333333333
Load2,1.0,0.9846666666666667,,0.9846666666666667
Load3,2.0,0.9906666666666667,,0.9906666666666667
Load4,3.0,,0.9823333333333333,0.9823333333333333
