lambda_rec,lambda_rep,lambda_grad,lambda_res,accuracy
0,0,0,0,0.6923333406448364
0,1,0,0,0.6694666743278503
0,0,1,0,0.5815333127975464
0,1,1,0,0.6035333275794983
1,0,0,0,0.663266658782959
1,1,1,0,0.612333357334137
1,1,1,1,0.6057999730110168
