lambda_rec,lambda_rep,lambda_grad,lambda_res,accuracy
0,0,0,0,0.7804220914840698
0,1,0,0,0.7923535704612732
0,0,1,0,0.7565591335296631
0,1,1,0,0.7403297424316406
1,0,0,0,0.779524028301239
1,1,1,0,0.756045937538147
1,1,1,1,0.7513631582260132
