lambda_rec,lambda_rep,lambda_grad,lambda_res,accuracy
0,0,0,0,0.687523365020752
0,1,0,0,0.6961215138435364
0,0,1,0,0.6580840945243835
0,1,1,0,0.6753738522529602
1,0,0,0,0.7148131132125854
1,1,1,0,0.7017289996147156
1,1,1,1,0.6790654063224792
