,M0,M1,M2,M3,M4,M6,,,,
M0,96,0,1.5,0.5,0,2,,,,
M1,7.4,91.3,0.4,0.7,0.2,0,,,,
M2,2.7,0,31.3,0,66,0,,,,
M3,0,1.1,0,98.7,0.2,0,,,,
M4,0,0,1,91.8,7,0.2,,,,
M6,0,0.100704935,0,0,0,99.89929507,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,100
