,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
A,0.0,0.8786,,0.8786
B,1.0,,0.7692,0.7692
C,2.0,,0.8354,0.8354
D,3.0,,0.8102,0.8102
