,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
A,0.0,0.9104,,0.9104
B,1.0,0.8714,,0.8714
C,2.0,0.9056,,0.9056
D,3.0,,0.8268,0.8268
