obj_oracle_match,obj_oracle_match_unbiased,closed_attr_match,closed_obj_match,closed_match,closed_seen_match,closed_unseen_match,closed_ca,closed_seen_ca,closed_unseen_ca,closed_ub_attr_match,closed_ub_obj_match,closed_ub_match,closed_ub_seen_match,closed_ub_unseen_match,closed_ub_ca,closed_ub_seen_ca,closed_ub_unseen_ca,biasterm,best_unseen,best_seen,AUC,hm_unseen,hm_seen,best_hm,a_epoch
0.5124455690383911,0.29589295387268066,0.4278157949447632,0.5805849432945251,0.3820784091949463,0.0,0.5254600048065186,2.0,1.0,1.0,0.29433727264404297,0.601120114326477,0.1260112076997757,0.433295339345932,0.010697475634515285,2.0,1.0,1.0,0.39154714345932007,0.5254600048065186,0.43443557620048523,0.1307260761906927,0.33975180983543396,0.19954389333724976,0.2514219879895136,0
0.5087118744850159,0.29838207364082336,0.41848164796829224,0.5836963057518005,0.3789670169353485,0.0,0.5211809873580933,2.0,1.0,1.0,0.2971375286579132,0.6247666478157043,0.13627877831459045,0.4789053499698639,0.00770218251273036,2.0,1.0,1.0,0.27920621633529663,0.5211809873580933,0.4800456166267395,0.14397143034735993,0.3080872893333435,0.23375143110752106,0.26582022314356046,1
,,,
0.505911648273468,0.30304914712905884,0.41941505670547485,0.6042314767837524,0.39327940344810486,0.0,0.5408643484115601,2.0,1.0,1.0,0.3021157383918762,0.6331673860549927,0.14467953145503998,0.49714937806129456,0.012409071438014507,2.0,1.0,1.0,0.25668421387672424,0.5408643484115601,0.4994298815727234,0.15790498139547554,0.2956782281398773,0.26567843556404114,0.27987671354689186,2
,
0.5018668174743652,0.2986932098865509,0.43590542674064636,0.6238332390785217,0.4082140624523163,0.0,0.5614035129547119,2.0,1.0,1.0,0.2977598011493683,0.657436192035675,0.142501562833786,0.49030786752700806,0.011981172487139702,2.0,1.0,1.0,0.3308105170726776,0.5614035129547119,0.4925883710384369,0.1651880467220685,0.33418911695480347,0.24743443727493286,0.28434163470778806,3
0.5031113624572754,0.3092719316482544,0.44057250022888184,0.6110765337944031,0.40479153394699097,0.0,0.5566965937614441,2.0,1.0,1.0,0.30802738666534424,0.6540136933326721,0.15992532670497894,0.5359178781509399,0.01882755756378174,2.0,1.0,1.0,0.2264648675918579,0.5566965937614441,0.5416191816329956,0.18573476055253219,0.2781343460083008,0.34777650237083435,0.30908104658820207,4
0.5018668174743652,0.3142501413822174,0.4511512219905853,0.6210329532623291,0.41350340843200684,0.0,0.5686777830123901,2.0,1.0,1.0,0.3117610514163971,0.6661481261253357,0.16334785521030426,0.5507411360740662,0.017971757799386978,2.0,1.0,1.0,0.2570527493953705,0.5686777830123901,0.5553021430969238,0.18460988425777236,0.2824133634567261,0.3192702531814575,0.2997129506581744,5
