,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC2,0.0,,0.8005006739842095,0.8005006739842095
WC3,1.0,,0.8489222478829869,0.8489222478829869
WC4,2.0,1.0,,1.0
WC5,3.0,1.0,,1.0
