,attr_id,seen_obj_acc,unseen_obj_acc,total_obj_acc
WC2,0.0,,0.7531292124013095,0.7531292124013095
WC3,1.0,,0.8641262509622787,0.8641262509622787
WC4,2.0,,0.9821153846153846,0.9821153846153846
WC5,3.0,0.999423076923077,,0.999423076923077
